Date,Time,Humidity,Humidity_slope,Windspeed,Windspeed_slope,Temperature,Temperature_slope,Label
2023-11-05,20:38:13,39.572,-0.0012499999999988631,0.0294363838621432,-0.0005844683546891993,20.975,-0.02999999999999936,0
2023-11-05,20:38:13,39.566,-0.00274999999999892,0.0293837316788586,-0.0005976314005103492,21.216,0.030250000000000554,0
2023-11-05,20:38:15,39.577,-0.0015000000000000568,0.0271551195703821,-0.0011547844276294742,21.095,0.0,0
2023-11-05,20:38:16,39.566,-0.005499999999999616,0.0229855875959482,0.0009348657859317494,21.095,0.0,0
2023-11-05,20:38:17,39.572,-0.0039999999999995595,0.0271551195703821,0.001977248779540225,21.095,0.0,0
2023-11-05,20:38:18,39.566,0.0,0.0342325084826928,0.001212194200958549,21.216,0.0,0
2023-11-05,20:38:19,39.577,0.00274999999999892,0.0293837316788586,0.0,21.216,0.0,0
2023-11-05,20:38:20,39.566,-0.00274999999999892,0.0342325084826928,0.001769347228077674,21.216,0.030250000000000554,0
2023-11-05,20:38:21,39.539,-0.006750000000000256,0.0293837316788586,0.0015995360207276006,21.216,0.030250000000000554,0
2023-11-05,20:38:22,39.544,-0.0070000000000014495,0.0293837316788586,0.000557153027119125,21.216,0.030250000000000554,0
2023-11-05,20:38:23,39.555,-0.0027500000000006963,0.0271156178266607,-0.0017792226640080244,21.336,0.02999999999999936,0
2023-11-05,20:38:24,39.544,-0.008250000000000313,0.0272157596517264,-0.00054199300678305,20.855,-0.09025000000000016,0
2023-11-05,20:38:25,39.527,-0.00975000000000037,0.0271156178266607,-0.0017792226640080244,21.336,0.02999999999999936,0
2023-11-05,20:38:26,39.539,0.0,0.0271156178266607,-0.0005670284630494753,21.336,0.02999999999999936,0
2023-11-05,20:38:27,39.522,-0.005499999999999616,0.0229500440868713,-0.001608421897996825,21.336,0.02999999999999936,0
2023-11-05,20:38:28,39.55,-0.0012500000000006395,0.0229500440868713,-0.0010413934349473497,21.336,0.0,0
2023-11-05,20:38:29,39.522,-0.005499999999999616,0.0271156178266607,-2.5035456266425324e-05,21.336,0.12024999999999952,0
2023-11-05,20:38:30,39.539,0.0030000000000001137,0.0271156178266607,0.0,21.336,0.0,0
2023-11-05,20:38:31,39.539,0.0,0.0271156178266607,0.0,21.336,0.0,0
2023-11-05,20:38:32,39.527,0.0012500000000006395,0.0271156178266607,0.0010413934349473497,21.336,0.0,0
2023-11-05,20:38:33,39.538,-0.0030000000000001137,0.0271156178266607,0.0010413934349473497,21.336,0.0,0
